FILE_NAME: EC001112.CSV
ROM_CODE: 9A3B2000027AF621
DEVICE_NAME: DS1921Z
UPLOAD_TIME: 2017-06-20T09:34:24
MAC_ADDRESS: 00:04:A3:C1:42:3F
TEMPERATURE_UNITS: Centigrade

GPSRAM_0-15: Bog Trail

REGS_16:
RTC_Time: 2017-06-20T09:34:42
Alarm_Time: 00:00:00
Alarm_MaskDayOfWeek: 0
Alarm_MaskHrs: 0
Alarm_MaskMin: 0
Alarm_MaskSec: 0
Temp_LowAlarmThreshold: 0.000
Temp_HighAlarmThreshold: 0.000
Temp_LowAlarmState: FALSE
Temp_HighAlarmState: TRUE
Mission_InProgress: FALSE
Mission_RolloverEnabled: FALSE
Mission_StartDelay: 0 Min
Mission_TimeBetweenConversions: 10 Min
Mission_TimeStamp: 2017-06-02T15:04:00
Mission_SamplesCounter: 2560
Mission_RolloverOccurred: No
Device_SamplesCounter: 89415
Memory_Clear: FALSE
Oscillator_Enabled: TRUE

ALARMS_17-19:
High_Alarm_Time, High_Alarm_Duration
2017-06-02T15:14:00,17T17:00:00

HISTOGRAM_64-67:
Histogram_NumberOfBins: 64
Histogram_HighestBinValue: 1108
Histogram_LowBinTemp: -5.5
Histogram_HighBinTemp: 26.0
Count,Temperature
00000,-5.5
00000,-5.0
00000,-4.5
00000,-4.0
00000,-3.5
00000,-3.0
00000,-2.5
00000,-2.0
00000,-1.5
00000,-1.0
00000,-0.5
00000,0.0
00000,0.5
00000,1.0
00000,1.5
00000,2.0
00000,2.5
00000,3.0
00000,3.5
00000,4.0
00000,4.5
00000,5.0
00000,5.5
00000,6.0
00000,6.5
00000,7.0
00000,7.5
00000,8.0
00000,8.5
00000,9.0
00000,9.5
00294,10.0
01108,10.5
00212,11.0
00213,11.5
00059,12.0
00000,12.5
00001,13.0
00000,13.5
00000,14.0
00000,14.5
00000,15.0
00000,15.5
00000,16.0
00000,16.5
00000,17.0
00001,17.5
00001,18.0
00002,18.5
00002,19.0
00190,19.5
00242,20.0
00139,20.5
00064,21.0
00031,21.5
00000,22.0
00001,22.5
00000,23.0
00000,23.5
00000,24.0
00000,24.5
00000,25.0
00000,25.5
00000,26.0

DATALOGS_128-191:
DataLog_NumSamples: 2048
DataLog_FirstSampleTime: 2017-06-02T15:04:00
DataLog_LastSampleTime: 2017-06-16T20:14:00
DataLog_SampleDuration: 14T05:10:00
DataLog_LowestTemp: 10.3
DataLog_HighestTemp: 20.4

TimeStamp,Temperature
2017-06-02T15:04:00,10.3
2017-06-02T15:14:00,10.3
2017-06-02T15:24:00,10.3
2017-06-02T15:34:00,10.3
2017-06-02T15:44:00,10.3
2017-06-02T15:54:00,10.3
2017-06-02T16:04:00,10.3
2017-06-02T16:14:00,10.3
2017-06-02T16:24:00,10.3
2017-06-02T16:34:00,10.3
2017-06-02T16:44:00,10.3
2017-06-02T16:54:00,10.3
2017-06-02T17:04:00,10.3
2017-06-02T17:14:00,10.3
2017-06-02T17:24:00,10.3
2017-06-02T17:34:00,10.3
2017-06-02T17:44:00,10.3
2017-06-02T17:54:00,10.3
2017-06-02T18:04:00,10.3
2017-06-02T18:14:00,10.3
2017-06-02T18:24:00,10.3
2017-06-02T18:34:00,10.3
2017-06-02T18:44:00,10.3
2017-06-02T18:54:00,10.3
2017-06-02T19:04:00,10.3
2017-06-02T19:14:00,10.3
2017-06-02T19:24:00,10.3
2017-06-02T19:34:00,10.3
2017-06-02T19:44:00,10.3
2017-06-02T19:54:00,10.3
2017-06-02T20:04:00,10.3
2017-06-02T20:14:00,10.3
2017-06-02T20:24:00,10.3
2017-06-02T20:34:00,10.3
2017-06-02T20:44:00,10.3
2017-06-02T20:54:00,10.3
2017-06-02T21:04:00,10.3
2017-06-02T21:14:00,10.3
2017-06-02T21:24:00,10.3
2017-06-02T21:34:00,10.3
2017-06-02T21:44:00,10.3
2017-06-02T21:54:00,10.3
2017-06-02T22:04:00,10.3
2017-06-02T22:14:00,10.3
2017-06-02T22:24:00,10.3
2017-06-02T22:34:00,10.3
2017-06-02T22:44:00,10.3
2017-06-02T22:54:00,10.3
2017-06-02T23:04:00,10.3
2017-06-02T23:14:00,10.3
2017-06-02T23:24:00,10.4
2017-06-02T23:34:00,10.3
2017-06-02T23:44:00,10.3
2017-06-02T23:54:00,10.3
2017-06-03T00:04:00,10.3
2017-06-03T00:14:00,10.3
2017-06-03T00:24:00,10.3
2017-06-03T00:34:00,10.3
2017-06-03T00:44:00,10.3
2017-06-03T00:54:00,10.3
2017-06-03T01:04:00,10.3
2017-06-03T01:14:00,10.3
2017-06-03T01:24:00,10.3
2017-06-03T01:34:00,10.3
2017-06-03T01:44:00,10.4
2017-06-03T01:54:00,10.4
2017-06-03T02:04:00,10.4
2017-06-03T02:14:00,10.4
2017-06-03T02:24:00,10.3
2017-06-03T02:34:00,10.3
2017-06-03T02:44:00,10.4
2017-06-03T02:54:00,10.4
2017-06-03T03:04:00,10.4
2017-06-03T03:14:00,10.4
2017-06-03T03:24:00,10.4
2017-06-03T03:34:00,10.4
2017-06-03T03:44:00,10.4
2017-06-03T03:54:00,10.4
2017-06-03T04:04:00,10.4
2017-06-03T04:14:00,10.4
2017-06-03T04:24:00,10.4
2017-06-03T04:34:00,10.4
2017-06-03T04:44:00,10.4
2017-06-03T04:54:00,10.4
2017-06-03T05:04:00,10.4
2017-06-03T05:14:00,10.4
2017-06-03T05:24:00,10.4
2017-06-03T05:34:00,10.4
2017-06-03T05:44:00,10.4
2017-06-03T05:54:00,10.4
2017-06-03T06:04:00,10.4
2017-06-03T06:14:00,10.4
2017-06-03T06:24:00,10.4
2017-06-03T06:34:00,10.4
2017-06-03T06:44:00,10.4
2017-06-03T06:54:00,10.4
2017-06-03T07:04:00,10.4
2017-06-03T07:14:00,10.4
2017-06-03T07:24:00,10.4
2017-06-03T07:34:00,10.4
2017-06-03T07:44:00,10.4
2017-06-03T07:54:00,10.4
2017-06-03T08:04:00,10.4
2017-06-03T08:14:00,10.4
2017-06-03T08:24:00,10.4
2017-06-03T08:34:00,10.4
2017-06-03T08:44:00,10.4
2017-06-03T08:54:00,10.4
2017-06-03T09:04:00,10.4
2017-06-03T09:14:00,10.4
2017-06-03T09:24:00,10.4
2017-06-03T09:34:00,10.4
2017-06-03T09:44:00,10.4
2017-06-03T09:54:00,10.4
2017-06-03T10:04:00,10.4
2017-06-03T10:14:00,10.4
2017-06-03T10:24:00,10.4
2017-06-03T10:34:00,10.4
2017-06-03T10:44:00,10.4
2017-06-03T10:54:00,10.4
2017-06-03T11:04:00,10.4
2017-06-03T11:14:00,10.4
2017-06-03T11:24:00,10.4
2017-06-03T11:34:00,10.4
2017-06-03T11:44:00,10.4
2017-06-03T11:54:00,10.4
2017-06-03T12:04:00,10.4
2017-06-03T12:14:00,10.4
2017-06-03T12:24:00,10.4
2017-06-03T12:34:00,10.4
2017-06-03T12:44:00,10.4
2017-06-03T12:54:00,10.4
2017-06-03T13:04:00,10.4
2017-06-03T13:14:00,10.4
2017-06-03T13:24:00,10.4
2017-06-03T13:34:00,10.4
2017-06-03T13:44:00,10.4
2017-06-03T13:54:00,10.4
2017-06-03T14:04:00,10.4
2017-06-03T14:14:00,10.4
2017-06-03T14:24:00,10.4
2017-06-03T14:34:00,10.4
2017-06-03T14:44:00,10.4
2017-06-03T14:54:00,10.4
2017-06-03T15:04:00,10.4
2017-06-03T15:14:00,10.4
2017-06-03T15:24:00,10.4
2017-06-03T15:34:00,10.4
2017-06-03T15:44:00,10.4
2017-06-03T15:54:00,10.4
